,origin,tileId,cloudCover,orbitNumber,processingDate,productGroupId,processingLevel,processorVersion,platformShortName,instrumentShortName,relativeOrbitNumber,platformSerialIdentifier,datetime,end_datetime,start_datetime,productType,datastripId,operationalMode,coordinates,item,downloaded
1,ESA,18SUG,0.00567,29395,2022-10-22T19:56:26.000000Z,GS2B_20221022T155309_029395_N04.00,S2MSI2A,04.00,SENTINEL-2,MSI,54,B,2022-10-22T15:53:09.024000Z,2022-10-22T15:53:09.024000Z,2022-10-22T15:53:09.024000Z,S2MSI2A,,,,<Item id=S2B_MSIL2A_20221022T155309_N0400_R054_T18SUG_20221022T195626.SAFE>,1
5,ESA,18SUG,0.005866,29395,2024-07-28T21:12:46.000000Z,GS2B_20221022T155309_029395_N05.10,S2MSI2A,05.10,SENTINEL-2,MSI,54,B,2022-10-22T15:53:09.024000Z,2022-10-22T15:53:09.024000Z,2022-10-22T15:53:09.024000Z,S2MSI2A,S2B_OPER_MSI_L2A_DS_S2RP_20240728T211246_S20221022T155922_N05.10,INS-NOBS,,<Item id=S2B_MSIL2A_20221022T155309_N0510_R054_T18SUG_20240728T211246.SAFE>,0
0,ESA,18SUG,0.006202,38089,2022-10-07T22:34:52.000000Z,GS2A_20221007T155141_038089_N04.00,S2MSI2A,04.00,SENTINEL-2,MSI,54,A,2022-10-07T15:51:41.024000Z,2022-10-07T15:51:41.024000Z,2022-10-07T15:51:41.024000Z,S2MSI2A,,,,<Item id=S2A_MSIL2A_20221007T155141_N0400_R054_T18SUG_20221007T223452.SAFE>,0
3,ESA,18SUG,0.006251,38089,2024-07-27T12:57:17.000000Z,GS2A_20221007T155141_038089_N05.10,S2MSI2A,05.10,SENTINEL-2,MSI,54,A,2022-10-07T15:51:41.024000Z,2022-10-07T15:51:41.024000Z,2022-10-07T15:51:41.024000Z,S2MSI2A,S2A_OPER_MSI_L2A_DS_S2RP_20240727T125717_S20221007T155855_N05.10,INS-NOBS,,<Item id=S2A_MSIL2A_20221007T155141_N0510_R054_T18SUG_20240727T125717.SAFE>,0
9,ESA,18SUG,0.155112,37946,,GS2A_20220927T155031_037946_N04.00,S2MSI2A,4.0,SENTINEL-2,MSI,54,A,2022-09-27T15:50:31.024000Z,2022-09-27T15:50:31.024000Z,2022-09-27T15:50:31.024000Z,S2MSI2A,,,"37.925581750319026,-77.27554 37.943111174604404,-76.02655 36.95355914294569,-76.01312 36.936641907455304,-77.24576 37.925581750319026,-77.27554",<Item id=S2A_MSIL2A_20220927T155031_N0400_R054_T18SUG_20220927T233759.SAFE>,0
10,ESA,18SUG,0.155809,37946,2024-07-25T19:10:03.000000Z,GS2A_20220927T155031_037946_N05.10,S2MSI2A,05.10,SENTINEL-2,MSI,54,A,2022-09-27T15:50:31.024000Z,2022-09-27T15:50:31.024000Z,2022-09-27T15:50:31.024000Z,S2MSI2A,S2A_OPER_MSI_L2A_DS_S2RP_20240725T191003_S20220927T155259_N05.10,INS-NOBS,,<Item id=S2A_MSIL2A_20220927T155031_N0510_R054_T18SUG_20240725T191003.SAFE>,0
12,ESA,18SUG,0.155809,37946,2024-07-25T19:10:03.000000Z,GS2A_20220927T155031_037946_N05.10,S2MSI2A,05.10,SENTINEL-2,MSI,54,A,2022-09-27T15:50:31.024000Z,2022-09-27T15:50:31.024000Z,2022-09-27T15:50:31.024000Z,S2MSI2A,S2A_OPER_MSI_L2A_DS_S2RP_20240725T191003_S20220927T155259_N05.10,INS-NOBS,,<Item id=S2A_MSIL2A_20220927T155031_N0510_R054_T18SUG_20240725T191003.SAFE>,0
6,ESA,18SUG,0.276844,28394,,GS2B_20220813T154819_028394_N04.00,S2MSI2A,4.0,SENTINEL-2,MSI,54,B,2022-08-13T15:48:19.024000Z,2022-08-13T15:48:19.024000Z,2022-08-13T15:48:19.024000Z,S2MSI2A,,,"37.925581750319026,-77.27554 37.943111174604404,-76.02655 36.95355914294569,-76.01312 36.936641907455304,-77.24576 37.925581750319026,-77.27554",<Item id=S2B_MSIL2A_20220813T154819_N0400_R054_T18SUG_20220813T200624.SAFE>,0
7,ESA,18SUG,0.276844,28394,,GS2B_20220813T154819_028394_N04.00,S2MSI2A,4.0,SENTINEL-2,MSI,54,B,2022-08-13T15:48:19.024000Z,2022-08-13T15:48:19.024000Z,2022-08-13T15:48:19.024000Z,S2MSI2A,,,"37.925581750319026,-77.27554 37.943111174604404,-76.02655 36.95355914294569,-76.01312 36.936641907455304,-77.24576 37.925581750319026,-77.27554",<Item id=S2B_MSIL2A_20220813T154819_N0400_R054_T18SUG_20220813T200624.SAFE>,0
11,ESA,18SUG,0.277411,28394,2024-07-16T01:04:57.000000Z,GS2B_20220813T154819_028394_N05.10,S2MSI2A,05.10,SENTINEL-2,MSI,54,B,2022-08-13T15:48:19.024000Z,2022-08-13T15:48:19.024000Z,2022-08-13T15:48:19.024000Z,S2MSI2A,S2B_OPER_MSI_L2A_DS_S2RP_20240716T010457_S20220813T155730_N05.10,INS-NOBS,,<Item id=S2B_MSIL2A_20220813T154819_N0510_R054_T18SUG_20240716T010457.SAFE>,0
